r0_Lp,period_Lp,tau0_over_period,tau0_Lp,rho_req_mean,negative_amp,positive_amp,min_sampled_avg,mean_sampled_avg,max_sampled_avg,QI_bound,violates_at_min,geometry_window_ratio_at_tau0_0p1r0
1000000000000.0,1.0,0.5,0.5,-3.978873577297384e-26,-3.183098861837907e-24,2.3873241463784304e-24,-1.552571871984292e-26,2.3016847833396176e-26,6.410397756168115e-26,-0.15198177546350666,False,4.188790204786392e+20
1000000000000.0,1.0,1.0,1.0,-3.978873577297384e-26,-3.183098861837907e-24,2.3873241463784304e-24,2.208988397933484e-26,2.3808373906630703e-26,2.5611758852587035e-26,-0.009498860966469166,False,4.188790204786392e+20
1000000000000.0,1.0,5.0,5.0,-3.978873577297384e-26,-3.183098861837907e-24,2.3873241463784304e-24,2.3666632297519464e-26,2.38110777919315e-26,2.395129012745516e-26,-1.5198177546350666e-05,False,4.188790204786392e+20
1000000000000.0,1.0,10.0,10.0,-3.978873577297384e-26,-3.183098861837907e-24,2.3873241463784304e-24,2.3741143233059344e-26,2.3917247273767403e-26,2.4094848446770026e-26,-9.498860966469166e-07,False,4.188790204786392e+20
1000000000000.0,10.0,0.005,0.05,-3.978873577297384e-26,-3.183098861837907e-24,2.3873241463784304e-24,-3.007475172554294e-24,9.589688439180493e-27,2.2399205336853274e-24,-1519.8177546350664,False,4.188790204786392e+20
1000000000000.0,10.0,0.02,0.2,-3.978873577297384e-26,-3.183098861837907e-24,2.3873241463784304e-24,-2.3982230574723527e-24,-3.867446121564708e-27,1.9267262040852926e-24,-5.936788104043228,False,4.188790204786392e+20
1000000000000.0,10.0,0.1,1.0,-3.978873577297384e-26,-3.183098861837907e-24,2.3873241463784304e-24,-7.572755524801938e-25,1.1329561015035237e-26,8.39662309190814e-25,-0.009498860966469166,False,4.188790204786392e+20
1000000000000.0,10.0,0.5,5.0,-3.978873577297384e-26,-3.183098861837907e-24,2.3873241463784304e-24,-1.1028067335089714e-26,2.766836635508291e-26,6.886236876370818e-26,-1.5198177546350666e-05,False,4.188790204786392e+20
1000000000000.0,10.0,1.0,10.0,-3.978873577297384e-26,-3.183098861837907e-24,2.3873241463784304e-24,2.659262943660989e-26,2.8328980479358476e-26,3.012788616229635e-26,-9.498860966469166e-07,False,4.188790204786392e+20
1000000000000.0,10.0,5.0,50.0,-3.978873577297384e-26,-3.183098861837907e-24,2.3873241463784304e-24,2.7364347611262266e-26,2.739010649393637e-26,2.7399287596592215e-26,-1.5198177546350666e-09,False,4.188790204786392e+20
