t,phase,core_line_target_Tkk,core_line_nmc_feature_Tkk,core_line_rank1_scalar_Tkk,core_line_feature_residual_Tkk,access_mean_target_Tkk,access_mean_nmc_feature_Tkk,access_mean_rank1_scalar_Tkk,access_mean_feature_residual_Tkk,support_mean_target_Tkk,support_mean_nmc_feature_Tkk,support_mean_rank1_scalar_Tkk,support_mean_feature_residual_Tkk,support_ring_mean_target_Tkk,support_ring_mean_nmc_feature_Tkk,support_ring_mean_rank1_scalar_Tkk,support_ring_mean_feature_residual_Tkk,shoulder_mean_target_Tkk,shoulder_mean_nmc_feature_Tkk,shoulder_mean_rank1_scalar_Tkk,shoulder_mean_feature_residual_Tkk
169.0,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
170.625,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
172.25,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
173.875,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
175.5,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
177.125,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
178.75,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
180.375,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
182.0,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
183.625,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
