name,r_mode,x_catch,x_beta,x_q,w_catch,w_beta,w_q,p_beta,packet_fail_slices,edge_fail_slices,release_fail_slices,max_packet_norm,max_edge_gtt,max_release_packet_norm,max_packet_rho,max_edge_rho,max_release_rho,max_packet_j,max_edge_j,max_release_j,max_packet_R3,max_packet_K,clear,raw_source_cost,resolution,relative_source_cost,selection_score
midcatch_medium_p4,always_open,0.15,0.7,1.25,0.25,0.28,0.3,4.0,0,0,1,-0.6732983128228693,-1.4720763603521452,0.9224042313058174,0.3147453313694024,0.1968292943161668,0.1968292943161668,0.24015888861396542,1.5130576947413246,1.5130576947413246,15.820823755801264,81.49313926614882,False,1.827803026110727,sweep,0.8282390503023347,1000.8282390503024
midcatch_smooth_p2,always_open,0.15,0.7,1.25,0.35,0.38,0.42,2.0,0,0,1,-0.3880256263553068,-1.6040381791546714,7.080340406848944,0.31474533203397176,0.21034611944851833,0.21034611944851833,0.26681415559395444,2.025129229700783,2.025129229700783,15.820823986420535,89.36843198051395,False,2.3398745617347547,sweep,1.0602758925076776,1001.0602758925077
midcatch_smooth_p3,always_open,0.15,0.7,1.25,0.35,0.38,0.42,3.0,0,0,1,-0.38802562635528637,-1.6040381791546714,7.160630617405386,0.31474533203395555,0.1982083935610417,0.1982083935610417,0.260583669116378,1.9562539867724698,1.9562539867724702,15.820823986420535,86.21347853694262,False,2.270999318806426,sweep,1.029066202526102,1001.0290662025261
midcatch_smooth_p4,always_open,0.15,0.7,1.25,0.35,0.38,0.42,4.0,0,0,1,-0.38802562635528637,-1.6040381791546714,7.169671534585304,0.3147453320339393,0.19689693482858225,0.19689693482858225,0.250392146190738,1.8773549371613845,1.8773549371613845,15.820823986420535,82.72379706967966,False,2.1921002691953237,sweep,0.9933143884705663,1000.9933143884706
midcatch_very_smooth_p2,always_open,0.15,0.7,1.25,0.45,0.5,0.55,2.0,1,0,1,0.19237154087681763,-1.694763648781317,13.366025013423176,0.3147453443799145,0.2122165643174426,0.2122165643174426,0.26989401175503147,1.956259163475544,1.956259163475544,15.820824695405634,87.83172175762884,False,2.2710045078554586,sweep,1.029068553858812,1001.0290685538588
midcatch_very_smooth_p3,always_open,0.15,0.7,1.25,0.45,0.5,0.55,3.0,1,0,1,0.19237154087685937,-1.694763648781317,13.481159577852793,0.3147453443798992,0.19841281778182526,0.19841281778182526,0.26359094532704014,1.8897261821764244,1.8897261821764244,15.820824695405634,84.73128795882786,False,2.2044715265563237,sweep,0.9989202214303261,1000.9989202214304
midcatch_very_smooth_p4,always_open,0.15,0.7,1.25,0.45,0.5,0.55,4.0,1,0,1,0.19237154087685937,-1.694763648781317,13.49412218492813,0.31474534437988394,0.19692134799546607,0.19692134799546607,0.2532825547673823,1.813511225568438,1.813511225568438,15.820824695405634,81.30189501501371,False,2.128256569948322,sweep,0.9643846602248262,1000.9643846602248
later_beta_medium_p2,always_open,0.15,0.85,1.4,0.25,0.28,0.3,2.0,0,0,1,-0.6732983615707635,-2.0521361133950125,0.8718863529157321,0.31474533186261927,0.2064517998283234,0.2064517998283234,0.4940805408016689,1.824834472171177,1.824834472171177,15.820823736934795,172.00243917127898,False,2.1395798040337963,sweep,0.969515598576132,1000.9695155985761
later_beta_medium_p3,always_open,0.15,0.85,1.4,0.25,0.28,0.3,3.0,0,0,1,-0.6732983615707466,-2.0521361133950125,0.9153663872483842,0.3147453318626009,0.1977862151047986,0.1977862151047986,0.48254352326201805,1.7627712344447721,1.7627712344447726,15.820823736934795,165.92961499263376,False,2.0775165663073736,sweep,0.941392657351662,1000.9413926573517
later_beta_medium_p4,always_open,0.15,0.85,1.4,0.25,0.28,0.3,4.0,0,0,1,-0.6732983615707466,-2.0521361133950125,0.9202642313128182,0.31474533186258263,0.19684991502718405,0.19684991502718405,0.4636692299957757,1.6916751135889578,1.6916751135889578,15.820823736934795,159.21252377986238,False,2.0064204454515404,sweep,0.9091766128563685,1000.9091766128564
