case,t,l,N,B,R,rho,Tkk_min,flux,theta_plus,theta_minus,K_l,K_ang,tidal_ang
static_B3_long_throat,3.8500000000000005,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.8500000000000005,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.8500000000000005,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285848177,-6.905989850991688e-14,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.9000000000000004,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.9000000000000004,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.9000000000000004,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.95,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.95,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.95,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,4.0,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057266907348,-0.0,1.1368683772161603e-13,1.1368683772161603e-13,-7.579122514774402e-14,-5.684341886080802e-14,-1.7053025658242766e-11
static_B3_long_throat,4.0,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269124639973,-7.293230922146566e-14,0.15691813305183572,-0.15691813305161514,-3.791067243299548e-14,-5.51462164904326e-14,-1.654386494713013e-11
static_B3_long_throat,4.0,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285986297,1.381197970198215e-13,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
adiabatic_B_ramp_up,-4.0,0.0,1.0,1.009609505774319,1.0,-0.038273296074317904,-0.07806203184785718,-0.0,-5.684341886080802e-14,-5.684341886080802e-14,-0.012629564389708666,2.842170943040401e-14,-7.105427357601153e-12
adiabatic_B_ramp_up,-4.0,0.25,1.0,1.0096037797691895,1.0307764064044151,-0.033865861644927414,-0.06962130625974768,0.00023407928305723132,0.4660911570760534,-0.4660911570761637,-0.012622110412095025,2.75731082452163e-14,-6.893277061304222e-12
adiabatic_B_ramp_up,-4.0,1.6000000000000005,1.0,1.0035351396141903,1.8867962264113212,-0.0033519330986541604,-0.006881191896530452,0.00016658678959328112,0.8957064109723718,-0.8957064109724321,-0.004674280130393092,1.5063475871192507e-14,-3.01586615280507e-12
adiabatic_B_ramp_up,-3.95,0.0,1.0,1.0102685751937968,1.0,-0.03817147856242123,-0.07796021433528198,-0.0,2.842170943040401e-14,2.842170943040401e-14,-0.013482786630992113,-1.4210854715202004e-14,1.4210854715197892e-12
adiabatic_B_ramp_up,-3.95,0.25,1.0,1.010262456469732,1.0307764064044151,-0.03377301359041868,-0.06956257706209852,0.00024973027177575157,0.4657872722949796,-0.46578727229492445,-0.013474834269210537,-1.378655412260815e-14,1.3786554122604162e-12
adiabatic_B_ramp_up,-3.95,1.6000000000000005,1.0,1.003777597703921,1.8867962264113212,-0.0033662728344421634,-0.006921955144489104,0.00017787111751801804,0.8954900570053176,-0.8954900570052573,-0.004992114355343314,-1.5063475871192507e-14,1.5031781402393168e-12
adiabatic_B_ramp_up,-3.9,0.0,1.0,1.0109725977989008,1.0,-0.03806293626839862,-0.07785167204148556,-0.0,0.0,0.0,-0.014392051189713144,-0.0,-1.4210854715202307e-12
adiabatic_B_ramp_up,-3.9,0.25,1.0,1.0109660595696979,1.0307764064044151,-0.033674032800924764,-0.06949991144978342,0.0002663863946174646,0.46546309784259615,-0.46546309784259615,-0.014383568437118114,-0.0,-1.3786554122608443e-12
adiabatic_B_ramp_up,-3.9,1.6000000000000005,1.0,1.0040365931464585,1.8867962264113212,-0.003381562082660922,-0.006965418570102083,0.00018990085577723747,0.8952590615961707,-0.8952590615961707,-0.005331115061658357,-0.0,-1.509515399065494e-12
adiabatic_B_ramp_up,-3.85,0.0,1.0,1.0117246043926766,1.0,-0.037947246262522695,-0.07773598203560962,-0.0,0.0,0.0,-0.01536116908868733,-0.0,-1.4210854715202307e-12
adiabatic_B_ramp_up,-3.85,0.25,1.0,1.0117176180661716,1.0307764064044151,-0.033568533530609526,-0.06943306602401603,0.00028411297491213224,0.4651173267106797,-0.4651173267106797,-0.015352121858555586,-0.0,-1.3786554122608443e-12
adiabatic_B_ramp_up,-3.85,1.6000000000000005,1.0,1.0043132409119342,1.8867962264113212,-0.003397860867113296,-0.007011761773773973,0.00020272725032964136,0.8950124538558529,-0.8950124538558529,-0.005692760475671634,-0.0,-1.5095136540971742e-12
adiabatic_B_ramp_up,-3.8,0.0,1.0,1.0125278251160656,1.0,-0.03782396197496273,-0.07761269774782348,-0.0,-2.842170943040401e-14,-2.842170943040401e-14,-0.016393874656560673,1.4210854715202004e-14,1.4210854715197892e-12
adiabatic_B_ramp_up,-3.8,0.25,1.0,1.0125203601753539,1.0307764064044151,-0.03345610846476856,-0.06936177212381864,0.000302973161710284,0.46474857435904876,-0.46474857435910394,-0.016384226851369338,1.378655412260815e-14,1.3786554122604162e-12
adiabatic_B_ramp_up,-3.8,1.6000000000000005,1.0,1.0046087293027919,1.8867962264113212,-0.0034152326038905407,-0.00706116706399528,0.0002164006731389375,0.8947492013256851,-0.8947492013257453,-0.006078510169847599,1.5063475871192507e-14,1.5031833823553823e-12
adiabatic_B_ramp_up,-3.75,0.0,1.0,1.0133857018485697,1.0,-0.037692612292338515,-0.07748134806531236,-0.0,0.0,0.0,-0.01749410631263572,-0.0,-0.0
adiabatic_B_ramp_up,-3.75,0.25,1.0,1.013377725725838,1.0307764064044151,-0.03333632789443973,-0.06928574523484926,0.00032303303466087055,0.4643553750542399,-0.4643553750542399,-0.017483819730763198,-0.0,-0.0
adiabatic_B_ramp_up,-3.75,1.6000000000000005,1.0,1.0049243245157393,1.8867962264113212,-0.0034337442352157526,-0.0071138270918372675,0.0002309743438319187,0.8944682064708409,-0.8944682064708409,-0.006489910286363956,-0.0,-3.1622176465003424e-15
adiabatic_B_ramp_up,-3.7,0.0,1.0,1.014301901278607,1.0,-0.03755270068292088,-0.07734143645578163,-0.0,2.842170943040401e-14,2.842170943040401e-14,-0.01866601357064001,-1.4210854715202004e-14,1.4210854715197892e-12
adiabatic_B_ramp_up,-3.7,0.25,1.0,1.014293379221177,1.0307764064044151,-0.033208738916956804,-0.0692046842524455,0.00034436162396964186,0.46393617817202587,-0.4639361781719707,-0.018655047812375633,-1.378655412260815e-14,1.3786554122604162e-12
adiabatic_B_ramp_up,-3.7,1.6000000000000005,1.0,1.005261375450063,1.8867962264113212,-0.0034534663595926795,-0.007169945263365368,0.00024650444200401855,0.8941683030307545,-0.8941683030306942,-0.006928597593560336,-1.5063475871192507e-14,1.503187489616904e-12
adiabatic_B_ramp_up,-3.65,0.0,1.0,1.01528032866464,1.0,-0.03740370436283405,-0.07719244013592097,-0.0,0.0,0.0,-0.01991396363199626,-0.0,-1.4210854715202307e-12
adiabatic_B_ramp_up,-3.65,0.25,1.0,1.0152712235928112,1.0307764064044151,-0.0330728646736878,-0.06911827074191781,0.0003670309090361451,0.46348934448846535,-0.46348934448846535,-0.019902276005778298,-0.0,-1.3786554122608443e-12
