tau0,t0,lorentzian_avg_rho_dimless,L0max_planck_units
0.002,-0.71,-0.03978873577297382,122150.62797572999
0.002,-0.7,-0.03978873577297382,122150.62797572999
0.002,-0.69,-0.039788735772973836,122150.62797572996
0.002,-0.6799999999999999,-0.03978873577297383,122150.62797572998
0.002,-0.6699999999999999,-0.03978873577297384,122150.62797572995
0.002,-0.6599999999999999,-0.039788735772973836,122150.62797572996
0.002,-0.6499999999999999,-0.03978873577297385,122150.62797572995
0.002,-0.6399999999999999,-0.03978873577297385,122150.62797572995
0.002,-0.6299999999999999,-0.03978873577297385,122150.62797572995
0.002,-0.6199999999999999,-0.03978873577297384,122150.62797572995
0.002,-0.6099999999999999,-0.03978873577297384,122150.62797572995
0.002,-0.5999999999999999,-0.03978873577297385,122150.62797572995
0.002,-0.5900000000000001,-0.03978873577297383,122150.62797572998
0.002,-0.5800000000000001,-0.03978873577297383,122150.62797572998
0.002,-0.5700000000000001,-0.039788735772973836,122150.62797572996
0.002,-0.56,-0.039788735772973836,122150.62797572996
0.002,-0.55,-0.039788735772973836,122150.62797572996
0.002,-0.54,-0.039788735772973836,122150.62797572996
0.002,-0.53,-0.03978873577297383,122150.62797572998
0.002,-0.52,-0.03978873577297383,122150.62797572998
0.002,-0.51,-0.039788735772973836,122150.62797572996
0.002,-0.5,-0.03978873577297383,122150.62797572998
0.002,-0.49,-0.03978873577297383,122150.62797572998
0.002,-0.48,-0.03978873577297382,122150.62797572999
0.002,-0.47,-0.03978873577297382,122150.62797572999
0.002,-0.45999999999999996,-0.039788735772973836,122150.62797572996
0.002,-0.44999999999999996,-0.03978873577297382,122150.62797572999
0.002,-0.43999999999999995,-0.03978873577297382,122150.62797572999
0.002,-0.42999999999999994,-0.039788735772973836,122150.62797572996
0.002,-0.41999999999999993,-0.03978873577297384,122150.62797572995
0.002,-0.4099999999999999,-0.03978873577297382,122150.62797572999
0.002,-0.3999999999999999,-0.03978873577297383,122150.62797572998
0.002,-0.3899999999999999,-0.039788735772973836,122150.62797572996
0.002,-0.3799999999999999,-0.03978873577297383,122150.62797572998
0.002,-0.3699999999999999,-0.039788735772973836,122150.62797572996
0.002,-0.3599999999999999,-0.039788735772973836,122150.62797572996
0.002,-0.34999999999999987,-0.03978873577297384,122150.62797572995
0.002,-0.33999999999999986,-0.039788735772973836,122150.62797572996
0.002,-0.33000000000000007,-0.039788735772973836,122150.62797572996
0.002,-0.32000000000000006,-0.03978873577297382,122150.62797572999
0.002,-0.31000000000000005,-0.03978873577297382,122150.62797572999
0.002,-0.30000000000000004,-0.03978873577297384,122150.62797572995
0.002,-0.29000000000000004,-0.039788735772973836,122150.62797572996
0.002,-0.28,-0.03978873577297384,122150.62797572995
0.002,-0.27,-0.03978873577297384,122150.62797572995
0.002,-0.26,-0.03978873577297385,122150.62797572995
0.002,-0.25,-0.03978873577297383,122150.62797572998
0.002,-0.24,-0.03978873577297382,122150.62797572999
0.002,-0.22999999999999998,-0.03978873577297382,122150.62797572999
0.002,-0.21999999999999997,-0.03978873577297383,122150.62797572998
0.002,-0.20999999999999996,-0.03978873577297383,122150.62797572998
0.002,-0.19999999999999996,-0.03978873577297383,122150.62797572998
0.002,-0.18999999999999995,-0.03978873577297383,122150.62797572998
0.002,-0.17999999999999994,-0.03978873577297383,122150.62797572998
0.002,-0.16999999999999993,-0.03978873577297384,122150.62797572995
0.002,-0.15999999999999992,-0.039788735772973836,122150.62797572996
0.002,-0.1499999999999999,-0.039788735772973836,122150.62797572996
0.002,-0.1399999999999999,-0.03978873577297384,122150.62797572995
0.002,-0.1299999999999999,-0.039788735772973836,122150.62797572996
0.002,-0.11999999999999988,-0.039788735772973836,122150.62797572996
0.002,-0.10999999999999988,-0.03978873577297384,122150.62797572995
0.002,-0.09999999999999987,-0.039788735772973836,122150.62797572996
0.002,-0.08999999999999986,-0.039788735772973836,122150.62797572996
0.002,-0.08000000000000007,-0.039788735772973836,122150.62797572996
0.002,-0.07000000000000006,-0.039788735772973836,122150.62797572996
0.002,-0.06000000000000005,-0.039788735772973836,122150.62797572996
0.002,-0.050000000000000044,-0.039788735772973836,122150.62797572996
0.002,-0.040000000000000036,-0.039788735772973836,122150.62797572996
0.002,-0.030000000000000027,-0.039788735772973836,122150.62797572996
0.002,-0.020000000000000018,-0.03978873577297385,122150.62797572995
0.002,-0.010000000000000009,-0.039788735772973836,122150.62797572996
0.002,0.0,-0.039788735772973836,122150.62797572996
0.002,0.010000000000000231,-0.03978873577297383,122150.62797572998
0.002,0.020000000000000018,-0.03978873577297382,122150.62797572999
0.002,0.03000000000000025,-0.03978873577297384,122150.62797572995
0.002,0.040000000000000036,-0.03978873577297383,122150.62797572998
0.002,0.04999999999999982,-0.039788735772973836,122150.62797572996
0.002,0.06000000000000005,-0.03978873577297383,122150.62797572998
0.002,0.06999999999999984,-0.03978873577297385,122150.62797572995
0.002,0.08000000000000007,-0.039788735772973836,122150.62797572996
0.002,0.08999999999999986,-0.03978873577297384,122150.62797572995
0.002,0.10000000000000009,-0.039788735772973836,122150.62797572996
0.002,0.10999999999999988,-0.03978873577297383,122150.62797572998
0.002,0.1200000000000001,-0.03978873577297383,122150.62797572998
0.002,0.1299999999999999,-0.03978873577297385,122150.62797572995
0.002,0.14000000000000012,-0.039788735772973836,122150.62797572996
0.002,0.1499999999999999,-0.03978873577297383,122150.62797572998
