tau0,t0,lorentzian_avg_rho_dimless,L0max_planck_units
0.01,-1.2629202467430969,-0.004128912142390549,15167.637637910882
0.01,-1.244070690821558,-0.0037444881046624964,15927.203824279704
0.01,-1.2252211349000195,-0.0010591978398975439,29946.57935412465
0.01,-1.2063715789784806,0.003934090080351747,inf
0.01,-1.1875220230569417,0.011247935301908023,inf
0.01,-1.1686724671354032,0.020898954115773517,inf
0.01,-1.1498229112138643,0.032905661706877386,inf
0.01,-1.1309733552923253,0.04728534486373572,inf
0.01,-1.1121237993707869,0.06404970672438419,inf
0.01,-1.093274243449248,0.08319893644261166,inf
0.01,-1.0744246875277095,0.10471375230354586,inf
0.01,-1.0555751316061706,0.128544846923668,inf
0.01,-1.0367255756846316,0.15459903225798516,inf
0.01,-1.0178760197630932,0.18272125302056583,inf
0.01,-0.9990264638415542,0.2126715374214112,inf
0.01,-0.9801769079200153,0.24409593666974203,inf
0.01,-0.9613273519984769,0.2764906633841345,inf
0.01,-0.9424777960769379,0.3091591312706208,inf
0.01,-0.923628240155399,0.34116267339885753,inf
0.01,-0.9047786842338605,0.37126774323297335,inf
0.01,-0.8859291283123216,0.3978958791739757,inf
0.01,-0.8670795723907827,0.41908821208695474,inf
0.01,-0.8482300164692442,0.43250425822877286,inf
0.01,-0.8293804605477053,0.43548498099840666,inf
0.01,-0.8105309046261668,0.42522084241504077,inf
0.01,-0.7916813487046279,0.39907191506486833,inf
0.01,-0.772831792783089,0.35507946438337523,inf
0.01,-0.7539822368615505,0.29267218958065166,inf
0.01,-0.7351326809400116,0.21349068957403525,inf
0.01,-0.7162831250184727,0.12212929930477823,inf
0.01,-0.6974335690969342,0.02646006920474327,inf
0.01,-0.6785840131753953,-0.06285221721981411,3887.5453124871888
0.01,-0.6597344572538564,-0.13389292187939938,2663.526094882495
0.01,-0.6408849013323179,-0.17594868729068341,2323.500391520743
0.01,-0.622035345410779,-0.18218901849682545,2283.3614648756625
0.01,-0.6031857894892405,-0.15157044939666628,2503.3899037235215
0.01,-0.5843362335677016,-0.0891395229369124,3264.3792813279897
0.01,-0.5654866776461627,-0.004596815139690682,14374.979896628765
0.01,-0.5466371217246242,0.09024087701993193,inf
0.01,-0.5277875658030853,0.18406792220968263,inf
0.01,-0.5089380098815464,0.26797793519340485,inf
0.01,-0.4900884539600079,0.33628824486414555,inf
0.01,-0.47123889803846897,0.386443879581942,inf
0.01,-0.45238934211693005,0.41837220444777545,inf
0.01,-0.4335397861953916,0.43365661745498807,inf
0.01,-0.41469023027385266,0.4347770588970928,inf
0.01,-0.3958406743523142,0.42453098474765094,inf
0.01,-0.37699111843077526,0.4056527886167484,inf
0.01,-0.35814156250923634,0.3806003450894086,inf
0.01,-0.33929200658769787,0.3514619657651987,inf
0.01,-0.32044245066615895,0.31994007750796893,inf
0.01,-0.30159289474462003,0.2873779553081807,inf
0.01,-0.28274333882308156,0.2548065646483629,inf
0.01,-0.26389378290154264,0.22299736484296068,inf
0.01,-0.24504422698000372,0.1925132127560953,inf
0.01,-0.22619467105846525,0.16375359333429096,inf
0.01,-0.20734511513692633,0.13699285224888383,inf
0.01,-0.1884955592153874,0.11241145053520803,inf
0.01,-0.16964600329384893,0.09012091439035672,inf
0.01,-0.15079644737231002,0.07018340169073048,inf
0.01,-0.13194689145077154,0.05262683496382858,inf
0.01,-0.11309733552923262,0.037456470717880705,inf
0.01,-0.0942477796076937,0.024663651646045677,inf
0.01,-0.07539822368615523,0.014232355906186923,inf
0.01,-0.05654866776461631,0.006144033292448329,inf
0.01,-0.03769911184307739,0.0003811084051775392,inf
0.01,-0.01884955592153892,-0.0030705628344143135,17588.417702562823
0.01,0.0,-0.00422007628109181,15002.91383019741
0.01,0.01884955592153892,-0.003070562834414317,17588.417702562816
0.01,0.03769911184307739,0.0003811084051775361,inf
0.01,0.05654866776461631,0.00614403329244833,inf
0.01,0.07539822368615479,0.014232355906186708,inf
0.01,0.0942477796076937,0.024663651646045684,inf
0.01,0.11309733552923262,0.03745647071788072,inf
0.01,0.1319468914507711,0.052626834963828174,inf
0.01,0.15079644737231002,0.07018340169073049,inf
0.01,0.16964600329384893,0.09012091439035669,inf
0.01,0.1884955592153874,0.11241145053520803,inf
0.01,0.20734511513692633,0.13699285224888375,inf
0.01,0.22619467105846525,0.16375359333429096,inf
0.01,0.24504422698000372,0.19251321275609523,inf
0.01,0.2638937829015422,0.22299736484295996,inf
0.01,0.28274333882308156,0.2548065646483629,inf
0.01,0.30159289474462003,0.2873779553081808,inf
0.01,0.3204424506661585,0.3199400775079682,inf
0.01,0.33929200658769787,0.3514619657651986,inf
0.01,0.35814156250923634,0.3806003450894086,inf
0.01,0.3769911184307748,0.4056527886167479,inf
0.01,0.3958406743523142,0.424530984747651,inf
0.01,0.41469023027385266,0.4347770588970929,inf
0.01,0.43353978619539113,0.4336566174549881,inf
0.01,0.4523893421169305,0.41837220444777495,inf
0.01,0.47123889803846897,0.3864438795819419,inf
0.01,0.49008845396000744,0.33628824486414677,inf
0.01,0.5089380098815468,0.26797793519340307,inf
0.01,0.5277875658030853,0.18406792220968257,inf
0.01,0.5466371217246238,0.09024087701993429,inf
0.01,0.5654866776461631,-0.004596815139692807,14374.979896625442
0.01,0.5843362335677016,-0.08913952293691238,3264.3792813279897
0.01,0.6031857894892401,-0.15157044939666525,2503.3899037235296
0.01,0.6220353454107794,-0.18218901849682573,2283.3614648756607
0.01,0.6408849013323179,-0.17594868729068347,2323.500391520743
0.01,0.6597344572538564,-0.13389292187939936,2663.5260948824953
0.01,0.6785840131753949,-0.06285221721981603,3887.5453124871296
0.01,0.6974335690969342,0.026460069204743225,inf
0.01,0.7162831250184727,0.12212929930477832,inf
0.01,0.7351326809400112,0.21349068957403325,inf
0.01,0.7539822368615505,0.2926721895806517,inf
0.01,0.772831792783089,0.35507946438337523,inf
0.01,0.7916813487046275,0.3990719150648674,inf
0.01,0.8105309046261668,0.4252208424150408,inf
0.01,0.8293804605477053,0.4354849809984066,inf
0.01,0.8482300164692438,0.4325042582287731,inf
0.01,0.8670795723907831,0.41908821208695435,inf
0.01,0.8859291283123216,0.3978958791739758,inf
0.01,0.9047786842338601,0.3712677432329739,inf
0.01,0.9236282401553995,0.3411626733988568,inf
