B0,wB,aR,wR,l,B,R,rho,nec,Gkk,flare
1.0,0.75,1.0,0.75,-9.75,1.0,9.80114789195633,-8.020856932155334e-05,-8.452031183551268e-05,-0.0021242271259325207,0.0010621135629662604
1.0,0.75,1.0,0.75,-9.6,1.0,9.651942809610922,-8.391631201767812e-05,-8.850091404130166e-05,-0.0022242705711050803,0.0011121352855525402
1.0,0.75,1.0,0.75,-9.45,1.0,9.50276275616728,-8.7855382021293e-05,-9.273472187330616e-05,-0.0023306777677589707,0.0011653388838794854
1.0,0.75,1.0,0.75,-9.3,1.0,9.353608929178085,-9.204404132627164e-05,-9.724213136641474e-05,-0.002443961324161137,0.0012219806620805684
1.0,0.75,1.0,0.75,-9.15,1.0,9.204482603601356,-9.650230371761182e-05,-0.00010204553656583097,-0.0025646840640547452,0.0012823420320273726
1.0,0.75,1.0,0.75,-9.0,1.0,9.055385138137417,-0.00010125213141480153,-0.00010716955909244258,-0.0026934647962661984,0.0013467323981330992
1.0,0.75,1.0,0.75,-8.85,1.0,8.906317982196683,-0.00010631766152689903,-0.00011264131253879809,-0.0028309849597007992,0.0014154924798503998
1.0,0.75,1.0,0.75,-8.7,1.0,8.75728268357257,-0.00011172545783256536,-0.00011849069807692691,-0.0029779960527775984,0.0014889980263887992
1.0,0.75,1.0,0.75,-8.55,1.0,8.608280896903866,-0.00011750480156022598,-0.00012475074597923297,-0.0031353282167856378,0.0015676641083928189
1.0,0.75,1.0,0.75,-8.4,1.0,8.459314393022641,-0.00012368801767741414,-0.0001314580007907347,-0.003303899916318187,0.0016519499581590935
1.0,0.75,1.0,0.75,-8.25,1.0,8.31038506929733,-0.00013031085036735546,-0.00013865296530622692,-0.0034847290976358636,0.0017423645488179318
1.0,0.75,1.0,0.75,-8.1,1.0,8.161494961096281,-0.00013741289022192738,-0.00014638060764964758,-0.003678945932961142,0.001839472966480571
1.0,0.75,1.0,0.75,-7.95,1.0,8.01264625451542,-0.000145038060286274,-0.00015469094072872904,-0.003887807383762154,0.001943903691881077
1.0,0.75,1.0,0.75,-7.8,1.0,7.863841300534999,-0.00015323518167135295,-0.0001636396973607604,-0.004112714168513776,0.002056357084256888
1.0,0.75,1.0,0.75,-7.6499999999999995,1.0,7.715082630795343,-0.00016205861492059307,-0.0001732891003908551,-0.004355230117880756,0.0021776150589403786
1.0,0.75,1.0,0.75,-7.5,1.0,7.566372975210778,-0.00017156900656532437,-0.00018370876105024288,-0.004617104752924206,0.002308552376462103
1.0,0.75,1.0,0.75,-7.35,1.0,7.417715281675348,-0.0001818341427715826,-0.00019497671211354725,-0.004900299251176097,0.002450149625588048
1.0,0.75,1.0,0.75,-7.2,1.0,7.269112738154499,-0.00019292995050260265,-0.00020718062199418,-0.0052070169601846385,0.0026035084800923192
1.0,0.75,1.0,0.75,-7.05,1.0,7.120568797504873,-0.0002049416470931048,-0.00022041919769418168,-0.00553973865748958,0.0027698693287447895
1.0,0.75,1.0,0.75,-6.8999999999999995,1.0,6.972087205421343,-0.0002179650879047429,-0.0002348038349607003,-0.00590126402357797,0.002950632011788985
1.0,0.75,1.0,0.75,-6.75,1.0,6.823672031978091,-0.00023210833659272542,-0.00025046055093242456,-0.006294760214586858,0.0031473801072934293
1.0,0.75,1.0,0.75,-6.6,1.0,6.675327707311454,-0.00024749350090424706,-0.00026753225559281944,-0.006723818950149667,0.003361909475074834
1.0,0.75,1.0,0.75,-6.45,1.0,6.527059062089143,-0.00026425889620018174,-0.00028618144096492244,-0.007192524100233131,0.003596262050116566
1.0,0.75,1.0,0.75,-6.3,1.0,6.378871373526825,-0.00028256158352499093,-0.0003065933558959188,-0.007705531476176476,0.0038527657380882374
1.0,0.75,1.0,0.75,-6.1499999999999995,1.0,6.230770417853638,-0.00030258037897929423,-0.00032897978970705867,-0.008268163924185685,0.004134081962092842
1.0,0.75,1.0,0.75,-6.0,1.0,6.082762530298219,-0.00032451941453638027,-0.0003535835784544811,-0.008886524580020705,0.0044432622900103524
1.0,0.75,1.0,0.75,-5.85,1.0,5.934854673873658,-0.0003486123758035202,-0.0003806840020930602,-0.009567632514517754,0.004783816257258877
1.0,0.75,1.0,0.75,-5.7,1.0,5.7870545184921145,-0.0003751275636852882,-0.00041060327427743795,-0.01031958584007931,0.005159792920039656
1.0,0.75,1.0,0.75,-5.55,1.0,5.639370532249145,-0.00040437395285504836,-0.00044371436816637266,-0.011151758394589704,0.005575879197294853
