X,r_mode,U,q,E,packet_max_norm,packet_fail_points,packet_max_gtt,edge_max_gtt,edge_fail_points,release_packet_max_norm,rho_H_packet_p95_abs,j_packet_p95_abs,rho_H_edge_p95_abs,j_edge_p95_abs,R3_packet_p95_abs,K_packet_p95_abs,label,scenario,V,lambda_factor
0.05,always_open,0.8750000486111099,0.9996646498695335,0.9904617115004255,-51758.37527792563,0,-42191.789134449595,-12.40384588656608,0,,0.035064564164840856,2.4089035430341394e-06,0.04507837121887789,5.00003862830009e-05,1.7625367431296386,0.011830628355392853,C20_Cp3_B6_wB6,V10_lam115,10.0,11.5
0.35,always_open,0.21502560308177832,0.9975273768433652,0.9241418199787563,-51289.78711164555,0,-50865.764155991645,-12.33724953922903,0,,0.03379132396199615,4.987032350182193e-07,0.0451358362870358,9.019376276810386e-05,1.698537398065009,0.0031818138722628604,C20_Cp3_B6_wB6,V10_lam115,10.0,11.5
0.7,always_open,0.09203450304500485,0.975075573352886,0.5,-34831.429109770346,0,-34847.95213781382,-11.658905982322649,0,-19857.93869205838,0.027622971866161087,5.302063850276893e-07,0.04574156959152273,0.0003711891512103466,1.3884819964476207,0.0010558554346757724,C20_Cp3_B6_wB6,V10_lam115,10.0,11.5
1.0,always_open,0.0841804917119506,0.8411308951190848,0.10500058502026482,-7.504089867262669,0,-8.320177781160712,-8.320177781160712,0,-7.504089867262669,0.03433241211825974,0.0010294470078697005,0.04944906792897426,0.001606285236572813,1.7258485816281248,0.05999914334242061,C20_Cp3_B6_wB6,V10_lam115,10.0,11.5
1.25,always_open,0.08357341093031372,0.5,0.019292242724332276,-0.7646427753571945,0,-1.0164282993872442,-3.5233971951931986,0,-3.0222024444013824,0.09391958598471156,0.0019792875473570973,0.05967962916686921,0.0020150105027859746,4.725760255812338,0.09249504561499164,C20_Cp3_B6_wB6,V10_lam115,10.0,11.5
0.05,always_open,0.45833335879629566,0.9996646498695335,0.9904617115004255,-39564.41765314863,0,-31526.889709017087,-11.660152080271452,0,,0.035060933483801945,8.241676829795569e-07,0.04647087603628068,4.246551245638016e-05,1.7623545577390218,0.007084732884665383,C35_Cp3_B6_wB6,V5_lam575,5.0,5.75
0.35,always_open,0.1457143241709722,0.9975273768433652,0.9241418199787563,-39174.20530462195,0,-38645.75859688984,-11.599081818433648,0,,0.03378787555691476,2.2153028217179124e-07,0.046524356651709044,9.901811349724976e-05,1.6983639799594847,0.002456632804300634,C35_Cp3_B6_wB6,V5_lam575,5.0,5.75
0.7,always_open,0.08746186539822523,0.975075573352886,0.5,-26879.991946769333,0,-26923.771207243102,-10.976557186159802,0,-15478.196054134121,0.027620480726465252,3.4759238184494243e-07,0.04708906523458319,0.0005664323233402603,1.388356772861399,0.001187883412188878,C35_Cp3_B6_wB6,V5_lam575,5.0,5.75
1.0,always_open,0.08376338407677918,0.8411308951190848,0.10500058502026482,-6.893523884854416,0,-7.898395172363929,-7.898395172363929,0,-6.893523884854416,0.03477402288380611,0.0016167631822544036,0.05058405193609905,0.002433155613082506,1.7480883289180444,0.08067984969598865,C35_Cp3_B6_wB6,V5_lam575,5.0,5.75
1.25,always_open,0.08351688428461411,0.5,0.019292242724332276,-0.7641546630024625,0,-1.0160216902460875,-3.416103551730824,0,-2.8463265179071238,0.09326910372114859,0.0025761687421326502,0.06033011143043221,0.0026204050047331944,4.694031544842528,0.10460389948948728,C35_Cp3_B6_wB6,V5_lam575,5.0,5.75
0.05,always_open,0.8750000486111099,0.9996646498695335,0.9904617115004255,-41128.20343854962,0,-11789.644363991734,-11.892211636378022,0,,0.035060941853757285,1.5078758724223907e-06,0.04647088049365249,8.022596664572891e-05,1.7623545577390218,0.012962065220996695,C35_Cp3_B6_wB6,V10_lam6,10.0,6.0
0.35,always_open,0.21502560308177832,0.9975273768433652,0.9241418199787563,-42355.71060001831,0,-41249.8445898616,-11.829427547402808,0,,0.033787873290605674,3.13317709058258e-07,0.04652436746597019,0.0001445978748794187,1.6983639799594847,0.0034744896422214963,C35_Cp3_B6_wB6,V10_lam6,10.0,6.0
0.7,always_open,0.09203450304500485,0.975075573352886,0.5,-29170.915486152742,0,-29219.39210184851,-11.189586677483682,0,-16721.319570310487,0.02762048073276848,3.520808508099269e-07,0.04708911997317941,0.0005899760036515946,1.388356772861399,0.0011998608943283061,C35_Cp3_B6_wB6,V10_lam6,10.0,6.0
1.0,always_open,0.0841804917119506,0.8411308951190848,0.10500058502026482,-7.015548644910854,0,-8.030452551403656,-8.030452551403656,0,-7.015548644910854,0.03477414318985066,0.0016098310972044103,0.05058380015996794,0.0024235195383223657,1.7480883289180444,0.08041216276372147,C35_Cp3_B6_wB6,V10_lam6,10.0,6.0
1.25,always_open,0.08357341093031372,0.5,0.019292242724332276,-0.7639431841195131,0,-1.0161512685375866,-3.4499410139368387,0,-2.8793924359084517,0.09327008327437201,0.0025626457278211173,0.060329131877208605,0.0026066983384808824,4.694031544842528,0.10416010211211514,C35_Cp3_B6_wB6,V10_lam6,10.0,6.0
0.05,always_open,0.8750000486111099,0.9996646498695335,0.9904617115004255,-158437.9533883465,0,-129159.54039547051,-16.07277397906602,0,,0.03506093316867369,7.869063670017387e-07,0.046470878883783394,6.830508334395673e-05,1.7623545577390218,0.006764604658752639,C35_Cp3_B6_wB6,V10_lam115,10.0,11.5
0.35,always_open,0.21502560308177832,0.9975273768433652,0.9241418199787563,-156591.7631905781,0,-155288.70623574677,-15.97762512829136,0,,0.03378787658479899,1.6374260167286616e-07,0.04652436218501376,0.0001231513550511226,1.6983639799594847,0.0018157309564016324,C35_Cp3_B6_wB6,V10_lam115,10.0,11.5
0.7,always_open,0.09203450304500485,0.975075573352886,0.5,-102191.30528895336,0,-102239.78190464912,-15.011504782747329,0,-54997.77593276363,0.02762048049145273,1.9652400822152563e-07,0.04708894439049063,0.0005041662958810769,1.388356772861399,0.0006418234318556585,C35_Cp3_B6_wB6,V10_lam115,10.0,11.5
1.0,always_open,0.0841804917119506,0.8411308951190848,0.10500058502026482,-9.332242263680195,0,-10.347146170172996,-10.347146170172996,0,-9.332242263680195,0.03477572241768486,0.0013960126972835391,0.05057534727646241,0.002112901090361442,1.7480883289180444,0.07084047447910775,C35_Cp3_B6_wB6,V10_lam115,10.0,11.5
1.25,always_open,0.08357341093031372,0.5,0.019292242724332276,-0.7659260411410366,0,-1.01813412555911,-4.01095433735239,0,-3.4404057593240034,0.09328612739597512,0.0023404591944955846,0.06031308775560551,0.0023813677334133016,4.694031544842528,0.09660138942465762,C35_Cp3_B6_wB6,V10_lam115,10.0,11.5
0.05,always_open,0.4583333349247685,0.9996646498695335,0.9904617115004255,-39564.402283241834,0,-31526.890627561366,-11.660152080271452,0,,0.03506093347966088,8.241674340122785e-07,0.04647705348239623,4.233453837090613e-05,1.7623545575489556,0.007084749361156219,C35_Cp3_B6_wB12,V5_lam575,5.0,5.75
0.35,always_open,0.14571294748265748,0.9975273768433652,0.9241418199787563,-39174.21033517561,0,-38645.72480593466,-11.599081818433648,0,,0.03378787552716843,2.21524216571584e-07,0.046530540318674755,9.871172823876181e-05,1.69836397847719,0.0024566102258841475,C35_Cp3_B6_wB12,V5_lam575,5.0,5.75
0.7,always_open,0.08744892045338923,0.975075573352886,0.5,-26879.927939390414,0,-26923.73907861651,-10.976557186159802,0,-15478.010515738006,0.027620479994285747,3.471913945039864e-07,0.04709531871040984,0.000564597568650305,1.3883567360722175,0.0011875142430834863,C35_Cp3_B6_wB12,V5_lam575,5.0,5.75
