t,phase,access_mean_Tkk_total,access_max_abs_flux,access_max_abs_Kll,access_max_abs_Kth,access_max_abs_theta,access_min_N,access_min_R,support_mean_Tkk_total,support_max_abs_flux,support_max_abs_Kll,support_max_abs_Kth,support_max_abs_theta,support_min_N,support_min_R,shoulder_mean_Tkk_total,shoulder_max_abs_flux,shoulder_max_abs_Kll,shoulder_max_abs_Kth,shoulder_max_abs_theta,shoulder_min_N,shoulder_min_R,matching_mean_Tkk_total,matching_max_abs_flux,matching_max_abs_Kll,matching_max_abs_Kth,matching_max_abs_theta,matching_min_N,matching_min_R,coreline_Tkk_total,coreline_Tkk_geo,coreline_src,proper_half_length_R2,proper_half_length_R3
316.875,B_reset,-8.717451292149046e-06,1.3904131861499867e-07,0.020154503311027118,0.0,0.0001733850591259523,1.0,1.0,-0.0005561858544302487,3.2898613356495194e-05,0.020154503311027118,4.4404662635441694e-16,0.041024993628353955,1.0,1.0,-0.0007940664686574448,0.0003202635753462221,0.02015343934083234,5.2387374079428875e-16,0.3994287658631623,1.0,1.1725122955710758,-0.00021755602184233118,7.962049575212434e-05,0.019956549114712386,5.518233027606779e-16,0.10027191097694423,1.0,4.639062405271132,-8.362665712691175e-09,-8.362665712691175e-09,0.0,8.193441909128339,12.215656351615978
317.84999999999997,B_reset,-9.070046024003794e-06,1.44429819541108e-07,0.02052449790220061,0.0,0.00017685780089945664,1.0,1.0,-0.0005786669005485161,3.417357849610437e-05,0.02052449790220061,4.4404662635441694e-16,0.04184668011341365,1.0,1.0,-0.0008255679294970783,0.0003326733220692099,0.020523392699352803,5.2387374079428875e-16,0.40742775080767324,1.0,1.1725122955710758,-0.00022475128802566016,8.267363164993196e-05,0.02031891249820175,5.518233027606779e-16,0.10226014757827337,1.0,4.639062405271132,-8.701013395895352e-09,-8.701013395895352e-09,0.0,8.03256670360862,11.975862256842147
318.825,B_reset,-9.443669063069981e-06,1.500335544421601e-07,0.020894636097089397,0.0,0.0001804652056252714,1.0,1.0,-0.0006024819750217717,3.549946905361303e-05,0.020894636097089397,0.0,0.04270022898881684,1.0,1.0,-0.0008587076785106583,0.00034557860078024676,0.02089348801471611,0.0,0.4157368634195969,1.0,1.1725122955710758,-0.00023220945954215282,8.584620536881877e-05,0.020681117805003053,0.0,0.10432465427376567,1.0,4.639062405271132,-9.059586150717003e-09,-9.059586150717003e-09,0.0,7.87200954137625,11.73654222456876
319.8,B_reset,-9.83973372037809e-06,1.5586099460284335e-07,0.021264632700911366,0.0,0.00018421265105064496,1.0,1.0,-0.0006277203583041769,3.687828931410924e-05,0.021264632700911366,4.4404662635441694e-16,0.043586912655288274,1.0,1.0,-0.0008935820771378476,0.00035899890236260594,0.021263440027328936,5.2387374079428875e-16,0.42436848470671873,1.0,1.1725122955710758,-0.00023993782146172264,8.914271471498334e-05,0.021042868220863275,5.518233027606779e-16,0.10646841285318127,1.0,4.639062405271132,-9.439745901618224e-09,-9.439745901618224e-09,0.0,7.711878732095093,11.497857696813675
320.775,B_reset,-1.0259755425609016e-05,1.619207180007857e-07,0.021634173371825247,0.0,0.00018810572389161737,1.0,1.0,-0.0006544777497894837,3.831206879808489e-05,0.021634173371825247,4.4404662635441694e-16,0.04450805295494943,1.0,1.0,-0.0009302932849563576,0.0003729539616095617,0.021632934329720514,5.2387374079428875e-16,0.4333354764571639,1.0,1.1725122955710758,-0.00024794336806077953,9.256768888282112e-05,0.02140383766985115,5.518233027606779e-16,0.10869451575543773,1.0,4.639062405271132,-9.842953244132424e-09,-9.842953244132424e-09,0.0,7.552282151943,11.259969469457966
321.75,B_reset,-1.0705358794526924e-05,1.682213673571938e-07,0.022002912151450737,0.0,0.00019215022194978782,1.0,1.0,-0.0006828567089277827,3.9802852333660244e-05,0.022002912151450737,4.4404662635441694e-16,0.04546502167193233,1.0,1.0,-0.0009689495465083942,0.0003874636604727398,0.02200162489739421,5.2387374079428875e-16,0.44265118606837384,1.0,1.1725122955710758,-0.0002562327087695528,9.612566243725013e-05,0.021763668407137626,5.518233027606779e-16,0.11100616652838402,1.0,4.639062405271132,-1.0270774231102564e-08,-1.0270774231102564e-08,0.0,7.393327133115328,11.02303752754435
322.72499999999997,B_reset,-1.1178285044882196e-05,1.7477159955083794e-07,0.02237046883480456,0.0,0.00019635215509765966,1.0,1.0,-0.0007129671176734163,4.135268809038807e-05,0.02237046883480456,4.4404662635441694e-16,0.04645924076527105,1.0,1.0,-0.0010096654769755039,0.00040254791141146594,0.02236913145913689,5.2387374079428875e-16,0.45232944876682823,1.0,1.1725122955710758,-0.0002648119607585118,9.982114432490173e-05,0.022121968463509355,5.518233027606779e-16,0.11340667959140262,1.0,4.639062405271132,-1.0724887575253028e-08,-1.0724887575253028e-08,0.0,7.235120353328582,10.787220880575743
323.7,B_reset,-1.1680399742641708e-05,1.815800251685205e-07,0.022736426175155533,0.0,0.00020071774490615997,1.0,1.0,-0.0007449266630511374,4.296361327119897e-05,0.022736426175155533,0.0,0.0474921822805017,1.0,1.0,-0.0010525623428626343,0.0004182265180274686,0.022735036702345477,0.0,0.4623845866970026,1.0,1.1725122955710758,-0.0002736866267956915,0.00010365858124866277,0.02247830893885735,0.0,0.11589947917101408,1.0,4.639062405271132,-1.1207092157072829e-08,-1.1207092157072829e-08,0.0,7.077767725323908,10.552677397813635
324.675,B_reset,-1.221370085027273e-05,1.8865513683195304e-07,0.023100326920669167,0.0,0.00020525342265623672,1.0,1.0,-0.0007788613379752718,4.4637637156870904e-05,0.023100326920669167,4.4404662635441694e-16,0.048565367878902366,1.0,1.0,-0.001097768332984722,0.00043451900984408504,0.02309888331021812,5.2387374079428875e-16,0.472831404285078,1.0,1.1725122955710758,-0.0002828614569442084,0.00010764231465778499,0.02283222114337276,5.518233027606779e-16,0.11848809726232559,1.0,4.639062405271132,-1.1719314865765718e-08,-1.1719314865765718e-08,0.0,6.921374286370709,10.319563643576647
325.65,B_reset,-1.2780327036022012e-05,1.9600522480249114e-07,0.02346167068158711,0.0,0.0002099658254414344,1.0,1.0,-0.0008149059576525489,4.6376721135157676e-05,0.02346167068158711,4.4404662635441694e-16,0.049680367915023185,1.0,1.0,-0.0011454188140413984,0.0004514444477894352,0.023460170829576615,5.2387374079428875e-16,0.4836851792023558,1.0,1.1725122955710758,-0.0002923402926235557,0.00011177653054819782,0.023183193587283712,5.518233027606779e-16,0.12117617045016246,1.0,4.639062405271132,-1.2263618620611538e-08,-1.2263618620611538e-08,0.0,6.766044087770195,10.088034712538946
