t,phase,core_line_target_Tkk,core_line_nmc_Tkk,core_line_infra_Tkk,access_mean_target_Tkk,access_mean_nmc_Tkk,access_mean_infra_Tkk,support_mean_target_Tkk,support_mean_nmc_Tkk,support_mean_infra_Tkk,support_ring_mean_target_Tkk,support_ring_mean_nmc_Tkk,support_ring_mean_infra_Tkk,shoulder_mean_target_Tkk,shoulder_mean_nmc_Tkk,shoulder_mean_infra_Tkk
271.78125,B_reset,-3.4728154225373965e-06,0.0,-3.4728154225373965e-06,0.00011807895509689407,0.0,0.00011807895509689407,0.004146214728568185,0.0,0.004146214728568185,0.005720769752635589,0.0,0.005720769752635589,0.0021749854044885056,0.0,0.0021749854044885056
273.0,B_reset,-3.5177561448336424e-06,0.0,-3.5177561448336424e-06,0.00012652493032290458,0.0,0.00012652493032290458,0.004431143878827331,0.0,0.004431143878827331,0.006127956598158768,0.0,0.006127956598158768,0.0023260777610003666,0.0,0.0023260777610003666
274.21875,B_reset,-3.5661616601331075e-06,0.0,-3.5661616601331075e-06,0.00013504149596588126,0.0,0.00013504149596588126,0.00471862800744379,0.0,0.00471862800744379,0.0065385635932596504,0.0,0.0065385635932596504,0.002478419276222233,0.0,0.002478419276222233
275.4375,B_reset,-3.6182111967752112e-06,0.0,-3.6182111967752112e-06,0.00014360523824903548,0.0,0.00014360523824903548,0.005007894136295494,0.0,0.005007894136295494,0.006951462868167633,0.0,0.006951462868167633,0.002631585289954905,0.0,0.002631585289954905
276.65625,B_reset,-3.674095889447108e-06,0.0,-3.674095889447108e-06,0.00015219253484969543,0.0,0.00015219253484969543,0.00529816297578747,0.0,0.00529816297578747,0.0073655165386805705,0.0,0.0073655165386805705,0.002785147165412744,0.0,0.002785147165412744
277.875,B_reset,-3.73401993826106e-06,0.0,-3.73401993826106e-06,0.00016077960985025374,0.0,0.00016077960985025374,0.0055886508287789245,0.0,0.0055886508287789245,0.00777957936625883,0.0,0.00777957936625883,0.002938673305883451,0.0,0.002938673305883451
279.09375,B_reset,-3.7982018490135607e-06,0.0,-3.7982018490135607e-06,0.00016934258862840693,0.0,0.00016934258862840693,0.005878571497053382,0.0,0.005878571497053382,0.008192501415659704,0.0,0.008192501415659704,0.0030917301701314944,0.0,0.0030917301701314944
280.3125,B_reset,-3.866875765132062e-06,0.0,-3.866875765132062e-06,0.00017785755249009435,0.0,0.00017785755249009435,0.006167138184342523,0.0,0.006167138184342523,0.008603130700731577,0.0,0.008603130700731577,0.003243883283180275,0.0,0.003243883283180275
281.53125,B_reset,-3.940292902203763e-06,0.0,-3.940292902203763e-06,0.0001863005928447473,0.0,0.0001863005928447473,0.006453565389837731,0.0,0.006453565389837731,0.009010315808812952,0.0,0.009010315808812952,0.003394698239064239,0.0,0.003394698239064239
283.96875,B_reset,-4.102456485775915e-06,0.0,-4.102456485775915e-06,0.0002028756393998943,0.0,0.0002028756393998943,0.007016877074839009,0.0,0.007016877074839009,0.009809766229442908,0.0,0.009809766229442908,0.0036905823331904327,0.0,0.0036905823331904327
285.1875,B_reset,-4.191805321721184e-06,0.0,-4.191805321721184e-06,0.00021096035599846847,0.0,0.00021096035599846847,0.00729221381528411,0.0,0.00729221381528411,0.010199754708414777,0.0,0.010199754708414777,0.0038347918476224984,0.0,0.0038347918476224984
286.40625,B_reset,-4.287105954686786e-06,0.0,-4.287105954686786e-06,0.0002188786717133424,0.0,0.0002188786717133424,0.007562319217187667,0.0,0.007562319217187667,0.010581750284199375,0.0,0.010581750284199375,0.003975945850814853,0.0,0.003975945850814853
287.625,B_reset,-4.388720982994917e-06,0.0,-4.388720982994917e-06,0.00022660751057885042,0.0,0.00022660751057885042,0.007826441893728367,0.0,0.007826441893728367,0.010954642338054942,0.0,0.010954642338054942,0.004113624798398513,0.0,0.004113624798398513
288.84375,B_reset,-4.497041600978063e-06,0.0,-4.497041600978063e-06,0.00023412411047030648,0.0,0.00023412411047030648,0.008083842566902904,0.0,0.008083842566902904,0.011317335564796633,0.0,0.011317335564796633,0.004247414867012054,0.0,0.004247414867012054
290.0625,B_reset,-4.612490161065571e-06,0.0,-4.612490161065571e-06,0.0002414060681382404,0.0,0.0002414060681382404,0.008333795719254166,0.0,0.008333795719254166,0.01166875216509096,0.0,0.01166875216509096,0.004376908802146457,0.0,0.004376908802146457
291.28125,B_reset,-4.735522973711772e-06,0.0,-4.735522973711772e-06,0.00024843138203705387,0.0,0.00024843138203705387,0.008575591185353762,0.0,0.008575591185353762,0.012007833933400101,0.0,0.012007833933400101,0.004501706729349161,0.0,0.004501706729349161
292.5,B_reset,-4.866633369957287e-06,0.0,-4.866633369957287e-06,0.00025517849270809915,0.0,0.00025517849270809915,0.008808535676446802,0.0,0.008808535676446802,0.012333544230264235,0.0,0.012333544230264235,0.004621416925068118,0.0,0.004621416925068118
293.71875,B_reset,-5.00635505411407e-06,0.0,-5.00635505411407e-06,0.000261626320471528,0.0,0.000261626320471528,0.009031954231605271,0.0,0.009031954231605271,0.0126448698273467,0.0,0.0126448698273467,0.00473565654338978,0.0,0.00473565654338978
294.9375,B_reset,-5.1552657767566375e-06,0.0,-5.1552657767566375e-06,0.00026775430017406403,0.0,0.00026775430017406403,0.009245191588670017,0.0,0.009245191588670017,0.0129408226133809,0.0,0.0129408226133809,0.004844052294900127,0.0,0.004844052294900127
296.15625,B_reset,-5.3139913606579365e-06,0.0,-5.3139913606579365e-06,0.00027354241273318144,0.0,0.00027354241273318144,0.009447613468188653,0.0,0.009447613468188653,0.01322044114884515,0.0,0.01322044114884515,0.004946241073875466,0.0,0.004946241073875466
297.375,B_reset,-5.483210116374029e-06,0.0,-5.483210116374029e-06,0.0002789712132100372,0.0,0.0002789712132100372,0.009638607763475894,0.0,0.009638607763475894,0.013482792056850481,0.0,0.013482792056850481,0.005041870529990501,0.0,0.005041870529990501
298.59375,B_reset,-5.6636576865960805e-06,0.0,-5.6636576865960805e-06,0.00028402185513493196,0.0,0.00028402185513493196,0.009817585629834183,0.0,0.009817585629834183,0.013726971237355296,0.0,0.013726971237355296,0.00513059958071712,0.0,0.00513059958071712
299.8125,B_reset,-5.856132362890991e-06,0.0,-5.856132362890991e-06,0.00028867611079962254,0.0,0.00028867611079962254,0.009983982465874276,0.0,0.009983982465874276,0.013952104891418522,0.0,0.013952104891418522,0.005212098860579126,0.0,0.005212098860579126
301.03125,B_reset,-6.061500921969478e-06,0.0,-6.061500921969478e-06,0.0002929163872210805,0.0,0.0002929163872210805,0.010137258779768645,0.0,0.010137258779768645,0.014157350341770196,0.0,0.014157350341770196,0.00528605110342927,0.0,0.00528605110342927
303.46875,B_reset,-6.5147682916853286e-06,0.0,-6.5147682916853286e-06,0.00030008786704611464,0.0,0.00030008786704611464,0.010402421755281091,0.0,0.010402421755281091,0.014504964914311554,0.0,0.014504964914311554,0.005410107704435299,0.0,0.005410107704435299
304.6875,B_reset,-6.764803942670865e-06,0.0,-6.764803942670865e-06,0.00030298713497120127,0.0,0.00030298713497120127,0.010513361019867527,0.0,0.010513361019867527,0.014645808536820864,0.0,0.014645808536820864,0.005459640453571469,0.0,0.005459640453571469
305.90625,B_reset,-7.032023353761646e-06,0.0,-7.032023353761646e-06,0.0003054085492565464,0.0,0.0003054085492565464,0.010609285777011864,0.0,0.010609285777011864,0.014763712937798545,0.0,0.014763712937798545,0.005500483182799759,0.0,0.005500483182799759
307.125,B_reset,-7.317745314113236e-06,0.0,-7.317745314113236e-06,0.0003073377563920292,0.0,0.0003073377563920292,0.010689790532368432,0.0,0.010689790532368432,0.01485799520759035,0.0,0.01485799520759035,0.005532382247484839,0.0,0.005532382247484839
308.34375,B_reset,-7.623406230004616e-06,0.0,-7.623406230004616e-06,0.0003087610244903764,0.0,0.0003087610244903764,0.01075449726570531,0.0,0.01075449726570531,0.014928003375411782,0.0,0.014928003375411782,0.005555096779067286,0.0,0.005555096779067286
309.5625,B_reset,-7.950571298090529e-06,0.0,-7.950571298090529e-06,0.00030966521971070794,0.0,0.00030966521971070794,0.010803055280873606,0.0,0.010803055280873606,0.014973115379338934,0.0,0.014973115379338934,0.005568398495222424,0.0,0.005568398495222424
310.78125,B_reset,-8.300946739569865e-06,0.0,-8.300946739569865e-06,0.00031003777557670294,0.0,0.00031003777557670294,0.010835140879184108,0.0,0.010835140879184108,0.014992737705644101,0.0,0.014992737705644101,0.005572071415192812,0.0,0.005572071415192812
312.0,B_reset,-8.676393181767702e-06,0.0,-8.676393181767702e-06,0.0003098666547998416,0.0,0.0003098666547998416,0.010850456848216082,0.0,0.010850456848216082,0.014986303679956969,0.0,0.014986303679956969,0.0055659114779081,0.0,0.0055659114779081
313.21875,B_reset,-9.07894027646588e-06,0.0,-9.07894027646588e-06,0.0003091403032167859,0.0,0.0003091403032167859,0.010848731758205672,0.0,0.010848731758205672,0.014953271392805506,0.0,0.014953271392805506,0.005549726061063882,0.0,0.005549726061063882
314.4375,B_reset,-9.510802643990196e-06,0.0,-9.510802643990196e-06,0.00030784759545715866,0.0,0.00030784759545715866,0.010829719058415142,0.0,0.010829719058415142,0.014893121242478512,0.0,0.014893121242478512,0.005523333400055737,0.0,0.005523333400055737
315.65625,B_reset,-9.974397231249658e-06,0.0,-9.974397231249658e-06,0.000305977771971436,0.0,0.000305977771971436,0.010793195966314454,0.0,0.010793195966314454,0.014805353078966703,0.0,0.014805353078966703,0.005486561906597792,0.0,0.005486561906597792
316.875,B_reset,-1.0472362166669895e-05,0.0,-1.0472362166669895e-05,0.00030352036707721015,0.0,0.00030352036707721015,0.010738962143075436,0.0,0.010738962143075436,0.014689482934127727,0.0,0.014689482934127727,0.005439249388045377,0.0,0.005439249388045377
318.09375,B_reset,-1.1007577186364656e-05,0.0,-1.1007577186364656e-05,0.00030046512772416624,0.0,0.00030046512772416624,0.010666838149858157,0.0,0.010666838149858157,0.01454503932536096,0.0,0.01454503932536096,0.005381242169948318,0.0,0.005381242169948318
