A_open_ring_comp,A_support_setup_reset,A_shoulder_setup_reset,support_full_residual_ratio,support_ring_full_residual_ratio,shoulder_full_residual_ratio,access_full_residual_ratio,core_full_residual_ratio,support_ring_setup_reset_ratio,shoulder_setup_reset_ratio,support_setup_reset_ratio,support_ring_open_residual_neg_fraction,shoulder_open_neg_fraction_carried_by_nmc,score
0.0005,0.022,0.011,2.3029858889813335,1.0935957135882386,1.1367560880987737,2.752859390753695,2.793072768801061,1.1490769568224586,1.1537235092822935,2.239760186446013,1.5535096513620636,0.42206662750438684,1.343339398247419
0.0035,0.02,0.015,2.060236004944949,0.9781375495886798,1.7764466229060578,2.6318392415572003,2.7930320738642496,1.0146721578208093,1.7927239793544432,1.969370131136702,1.5535096513620636,0.42206662750438684,1.3460950055074166
0.0,0.022,0.012,2.298676677440095,1.0917236564571395,1.2891329685452475,2.7508856908578663,2.7930724994829736,1.1495663990084504,1.3059855472658342,2.2398673523774817,1.5535096513620636,0.42206662750438684,1.3519493111183711
0.001,0.022,0.011,2.3074015124364387,1.0959383258059543,1.136756104796435,2.754833094994933,2.793073038128553,1.1490769568224586,1.1537235092822935,2.239760186446013,1.5535096513620636,0.42206662750438684,1.3542114112406165
0.003,0.02,0.015,2.0559072166102985,0.9758311620188383,1.7764466048314695,2.629891613624208,2.793031804540838,1.0146721578208093,1.7927239793544432,1.969370131136702,1.5535096513620636,0.42206662750438684,1.3602645638071305
0.0005,0.022,0.012,2.303092332641794,1.0940663438677651,1.2891329855959932,2.7528593950999314,2.793072768810465,1.1495663990084504,1.3059855472658342,2.2398673523774817,1.5535096513620636,0.42206662750438684,1.3627365182159943
0.0015,0.022,0.011,2.311817135891544,1.0982809945388534,1.136756121494096,2.7568067992361702,2.7930733074560448,1.1490769568224586,1.1537235092822935,2.239760186446013,1.5535096513620636,0.42206662750438684,1.3651723849739874
0.001,0.022,0.012,2.3075079878434925,1.0964090877977462,1.289133002646739,2.754833099341996,2.7930730381379574,1.1495663990084504,1.3059855472658342,2.2398673523774817,1.5535096513620636,0.42206662750438684,1.3736126876678147
0.002,0.022,0.011,2.316232759346649,1.1006237197889803,1.1367561381917572,2.7587805034774076,2.793073576783536,1.1490769568224586,1.1537235092822935,2.239760186446013,1.5535096513620636,0.42206662750438684,1.3762223202417079
0.0025,0.02,0.015,2.0515784282756475,0.9735248292611388,1.7764465867568813,2.6279439856912163,2.7930315352174264,1.0146721578208093,1.7927239793544432,1.969370131136702,1.5535096513620636,0.42206662750438684,1.3766094074090143
0.0,0.022,0.01,2.2984638551424594,1.090782709930184,0.9898072919077899,2.75088568216705,2.793072499464165,1.1485875690551386,1.0068504458232423,2.2396530220726114,1.5535096513620636,0.42206662750438684,1.3786110081579253
0.0015,0.022,0.012,2.311923643045191,1.0987518882491292,1.2891330196974848,2.7568068035840603,2.793073307465449,1.1495663990084504,1.3059855472658342,2.2398673523774817,1.5535096513620636,0.42206662750438684,1.3845778202680865
0.0025,0.022,0.011,2.320648382801754,1.1029665015583816,1.1367561548894183,2.7607542077186453,2.793073846111028,1.1490769568224586,1.1537235092822935,2.239760186446013,1.5535096513620636,0.42206662750438684,1.3873612178380117
0.0005,0.022,0.01,2.3028794468514278,1.0931251339434946,0.9898073082468193,2.7528593864074606,2.7930727687916566,1.1485875690551386,1.0068504458232423,2.2396530220726114,1.5535096513620636,0.42206662750438684,1.3893898414720567
0.002,0.02,0.015,2.047249639940997,0.9712185513136277,1.7764465686822932,2.6259963577582237,2.7930312658940144,1.0146721578208093,1.7927239793544432,1.969370131136702,1.5535096513620636,0.42206662750438684,1.3951293838797227
0.002,0.022,0.012,2.31633929824689,1.101094745223959,1.2891330367482305,2.758780507826126,2.7930735767929407,1.1495663990084504,1.3059855472658342,2.2398673523774817,1.5535096513620636,0.42206662750438684,1.3956319168111206
0.003,0.022,0.011,2.3250640062568593,1.1053093398491014,1.1367561715870798,2.762727911959882,2.79307411543852,1.1490769568224586,1.1537235092822935,2.239760186446013,1.5535096513620636,0.42206662750438684,1.3985890785571902
0.001,0.022,0.01,2.307295038560396,1.0954676144637268,0.989807324585849,2.75483309064787,2.7930730381191484,1.1485875690551386,1.0068504458232423,2.2396530220726114,1.5535096513620636,0.42206662750438684,1.400257632324454
0.0025,0.022,0.012,2.320754953448589,1.1034376587242816,1.2891330537989762,2.76075421206819,2.7930738461204325,1.1495663990084504,1.3059855472658342,2.2398673523774817,1.5535096513620636,0.42206662750438684,1.4067749780912842
0.0035,0.022,0.011,2.329479629711965,1.1076522346631859,1.136756188284741,2.7647016162011195,2.7930743847660113,1.1490769568224586,1.1537235092822935,2.239760186446013,1.5535096513620636,0.42206662750438684,1.4099059031935925
0.0015,0.022,0.01,2.311710630269364,1.0978101514929246,0.9898073409248783,2.75680679488828,2.7930733074466403,1.1485875690551386,1.0068504458232423,2.2396530220726114,1.5535096513620636,0.42206662750438684,1.4112143815091034
0.0015,0.02,0.015,2.0429208516063464,0.9689123281743511,1.776446550607705,2.6240487298252315,2.7930309965706024,1.0146721578208093,1.7927239793544432,1.969370131136702,1.5535096513620636,0.42206662750438684,1.4158243407967774
0.003,0.022,0.012,2.3251706086502875,1.1057806287521421,1.289133070849722,2.7627279163102547,2.793074115447924,1.1495663990084504,1.3059855472658342,2.2398673523774817,1.5535096513620636,0.42206662750438684,1.4180070049030002
0.0,0.022,0.013,2.2987830908840925,1.09219420565879,1.4467142233675403,2.7508856952032743,2.793072499492379,1.1500558956221922,1.463413587100463,2.2399745198670526,1.5535096513620636,0.42206662750438684,1.4208415291538452
0.004,0.022,0.011,2.33389525316707,1.1099951860026802,1.1367562049824023,2.7666753204423573,2.793074654093503,1.1490769568224586,1.1537235092822935,2.239760186446013,1.5535096513620636,0.42206662750438684,1.421311692541623
0.002,0.022,0.01,2.3161262219783323,1.100152745033133,0.9898073572639078,2.7587804991286906,2.7930735767741317,1.1485875690551386,1.0068504458232423,2.2396530220726114,1.5535096513620636,0.42206662750438684,1.4222600898200477
0.0035,0.022,0.012,2.3295862638519864,1.1081236553095872,1.289133087900468,2.76470162055232,2.793074384775416,1.1495663990084504,1.3059855472658342,2.2398673523774817,1.5535096513620636,0.42206662750438684,1.4293279980407545
0.0005,0.022,0.013,2.3031987778328413,1.0945370247902462,1.4467142407660902,2.7528593994461663,2.793072768819871,1.1500558956221922,1.463413587100463,2.2399745198670526,1.5535096513620636,0.42206662750438684,1.4316328912338663
0.0045,0.022,0.011,2.338310876622175,1.11233819386963,1.1367562216800633,2.7686490246835946,2.793074923420995,1.1490769568224586,1.1537235092822935,2.239760186446013,1.5535096513620636,0.42206662750438684,1.4328064473957465
0.0025,0.022,0.01,2.3205418136873006,1.1024953950863974,0.9898073736029371,2.7607542033691,2.793073846101624,1.1485875690551386,1.0068504458232423,2.2396530220726114,1.5535096513620636,0.42206662750438684,1.433394758051386
0.001,0.02,0.015,2.0385920632716963,0.9666061598413551,1.776446532533117,2.6221011018922393,2.793030727247191,1.0146721578208093,1.7927239793544432,1.969370131136702,1.5535096513620636,0.42206662750438684,1.4386941257485755
