core_amp,repay_amp,buffer_amp,omega,access_qi_log10_L0max,access_qi_min_sampled_avg,access_positive_sample_fraction,repay_positive_sample_fraction,repay_qi_log10_L0max,access_max_abs_tidal,access_max_abs_rate,access_max_abs_flux,access_min_rho,access_max_rho,access_min_Gkk,repay_min_Gkk,access_quiet_open_fraction,access_open_fraction,failure_mode
0.005,0.12,0.041999999999999996,8.0,-0.3106285724870472,-0.0450254398257543,0.0,0.28123861566484515,-0.24464247242217071,0.3214970163598845,0.03999366658354383,0.009123226989190528,-0.046343373958731664,-0.025658366695006193,-2.718458230213758,-25.434155978457653,1.0,1.0,static-QI-preserved
0.005,0.12,0.041999999999999996,16.0,-0.31011053839223346,-0.04364037525661021,0.0,0.6342440801457195,-0.113471194602184,1.2846465692339237,0.07994638314707168,0.01823711259110017,-0.04634316940332317,-0.025658551048023472,-4.591727987023861,-61.10496631837442,0.5808383233532934,1.0,transition/marginal
0.005,0.12,0.041999999999999996,32.0,-0.3079840203960582,-0.04155478036657005,0.0,0.9737704918032787,2.823616647171511,5.1176834661598285,0.15956345110768666,0.03639932728833448,-0.04634340492104649,-0.025658335159087754,-12.247346321830591,-211.78361274666582,0.0,1.0,quiet-window-lost
0.005,0.12,0.041999999999999996,64.0,-0.2995798628927391,-0.03821100813024453,0.0,1.0,inf,20.136620859781235,0.3165191341871874,0.07220357774854576,-0.04634297229457539,-0.025658468692947734,-42.28522075163322,-815.4517694900736,0.0,1.0,quiet-window-lost
0.005,0.2,0.06999999999999999,4.0,-0.3108248211627883,-0.04573586693794207,0.0,0.40145719489981785,-0.5459962509558441,0.08039483341251384,0.019999393159490644,0.004562197443444329,-0.04634337422776761,-0.025658366920011423,-2.264581094926384,-25.787261296177974,1.0,1.0,static-QI-preserved
0.005,0.2,0.06999999999999999,8.0,-0.3106285724870472,-0.0450254398257543,0.0,0.43242258652094717,-0.34978163582958083,0.3214970163598845,0.03999366658354383,0.009123226989190528,-0.046343373958731664,-0.025658366695006193,-2.718458230213758,-43.68451624507939,1.0,1.0,static-QI-preserved
0.005,0.2,0.06999999999999999,16.0,-0.31011053839223346,-0.04364037525661021,0.0,0.7752276867030965,0.26826534777421646,1.2846465692339237,0.07994638314707168,0.01823711259110017,-0.04634316940332317,-0.025658551048023472,-4.591727987023861,-107.61793744245831,0.5808383233532934,1.0,transition/marginal
0.005,0.2,0.06999999999999999,32.0,-0.3079840203960582,-0.04155478036657005,0.0,0.9865209471766849,2.8114805937562224,5.1176834661598285,0.15956345110768666,0.03639932728833448,-0.04634340492104649,-0.025658335159087754,-12.247346321830591,-377.49897390598943,0.0,1.0,quiet-window-lost
0.005,0.2,0.06999999999999999,64.0,-0.2995798628927391,-0.03821100813024453,0.0,1.0,inf,20.136620859781235,0.3165191341871874,0.07220357774854576,-0.04634297229457539,-0.025658468692947734,-42.28522075163322,-1456.7026384980807,0.0,1.0,quiet-window-lost
0.01,0.0,0.0,4.0,-0.31075637343378604,-0.055271428635992936,0.0,0.0,-0.1492860163618856,0.1616017326387758,0.04000029010355212,0.0091245937841312,-0.056494705358374545,-0.015866648029741113,-2.691981322945755,-0.9496599406987054,1.0,1.0,static-QI-preserved
0.01,0.0,0.0,8.0,-0.31011768915174864,-0.053833994340134535,0.0,0.0,-0.1492720856068413,0.6462414645028259,0.07999029080122863,0.018246851722064045,-0.056494704273035094,-0.01586664713666815,-3.588104701108717,-0.9496614133789154,1.0,1.0,static-QI-preserved
0.01,0.0,0.0,16.0,-0.3079951951237095,-0.05097839770816334,0.0,0.0,-0.14927556435496347,2.5822690604466856,0.15989867853407513,0.036475020262380226,-0.05649427470065784,-0.015866998731142442,-7.253428095339007,-0.949667257956353,0.0,1.0,quiet-window-lost
0.01,0.0,0.0,32.0,-0.29932235608210844,-0.04627611846580717,0.0,0.0,-0.14927289429973525,10.287060664538853,0.3191426356049279,0.07280044802557636,-0.056494765252410616,-0.015866583387793596,-22.599894767267106,-0.9496899298066453,0.0,1.0,quiet-window-lost
0.01,0.0,0.0,64.0,-0.2619736599149599,-0.03677822161402603,0.0,0.0,-0.14927134071631748,40.476636207079906,0.6330461208010643,0.14440855180288217,-0.05649357135602659,-0.01583284038946209,-82.97851377267504,-0.9497723427358973,0.0,1.0,quiet-window-lost
