series,observer_family,tau,min_sampled_avg,center_at_min,qi_proxy_bound,qi_proxy_margin,status
combined_flux_completed_Tkk_min,shoulder_mean,10.0,-0.0021358852521828706,219.18,-9.498860966469166e-07,-0.0021349353660862235,below_proxy_bound
combined_flux_completed_Tkk_min,shoulder_mean,20.0,-0.0012258508992362453,219.96,-5.936788104043229e-08,-0.0012257915313552048,below_proxy_bound
combined_flux_completed_Tkk_min,shoulder_mean,40.0,-0.0006374702919511056,214.5,-3.710492565027018e-09,-0.0006374665814585405,below_proxy_bound
combined_flux_completed_Tkk_min,shoulder_mean,80.0,,,-2.3190578531418863e-10,,
combined_flux_completed_Tkk_min,matching_mean,0.5,-0.0018424384523661296,152.88,-0.15198177546350666,0.15013933701114054,above_proxy_bound
combined_flux_completed_Tkk_min,matching_mean,1.0,-0.0014416254857874755,152.88,-0.009498860966469166,0.008057235480681692,above_proxy_bound
combined_flux_completed_Tkk_min,matching_mean,2.0,-0.0011320126156855903,217.62,-0.0005936788104043229,-0.0005383338052812674,below_proxy_bound
combined_flux_completed_Tkk_min,matching_mean,5.0,-0.000767842023989124,219.18,-1.5198177546350666e-05,-0.0007526438464427733,below_proxy_bound
combined_flux_completed_Tkk_min,matching_mean,10.0,-0.0006681476604618481,349.44,-9.498860966469166e-07,-0.0006671977743652012,below_proxy_bound
combined_flux_completed_Tkk_min,matching_mean,20.0,-0.0004534859604647185,226.20000000000002,-5.936788104043229e-08,-0.0004534265925836781,below_proxy_bound
combined_flux_completed_Tkk_min,matching_mean,40.0,-0.0004046316928103322,229.32000000000002,-3.710492565027018e-09,-0.0004046279823177672,below_proxy_bound
combined_flux_completed_Tkk_min,matching_mean,80.0,,,-2.3190578531418863e-10,,
nmc_component_Tkk_min,core_line,0.5,-0.00021093382806638871,184.86,-0.15198177546350666,0.15177084163544027,above_proxy_bound
nmc_component_Tkk_min,core_line,1.0,-0.0002090648513912585,184.86,-0.009498860966469166,0.009289796115077908,above_proxy_bound
nmc_component_Tkk_min,core_line,2.0,-0.0002053202392238429,184.86,-0.0005936788104043229,0.00038835857118047997,above_proxy_bound
nmc_component_Tkk_min,core_line,5.0,-0.00019408538627014476,184.86,-1.5198177546350666e-05,-0.0001788872087237941,below_proxy_bound
nmc_component_Tkk_min,core_line,10.0,-0.0001758586655297686,184.86,-9.498860966469166e-07,-0.00017490877943312168,below_proxy_bound
nmc_component_Tkk_min,core_line,20.0,-0.00014389989001170457,184.86,-5.936788104043229e-08,-0.00014384052213066412,below_proxy_bound
nmc_component_Tkk_min,core_line,40.0,-0.00010171565302405631,184.86,-3.710492565027018e-09,-0.00010171194253149128,below_proxy_bound
nmc_component_Tkk_min,core_line,80.0,,,-2.3190578531418863e-10,,
